State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,Area (in ha),TOT_P,Class,VP/MC,VP Area,VP Population,Forest Area (in Hectares),Area under Non-Agricultural Uses (in Hectares),Barren & Un-cultivable Land Area (in Hectares),Permanent Pastures and Other Grazing Land Area (in Hectares),Land Under Miscellaneous Tree Crops etc. Area (in Hectares),Culturable Waste Land Area (in Hectares),Fallows Land other than Current Fallows Area (in Hectares),Current Fallows Area (in Hectares),Net Area Sown (in Hectares),Total Unirrigated Land Area (in Hectares),Area Irrigated by Source (in Hectares),Canals Area (in Hectares),Wells/Tube Wells Area (in Hectares),Tanks/Lakes Area (in Hectares),Waterfall Area (in Hectares),Other Source (specify) Area (in Hectares)
30,585,05613,626765,0000,000000,VILLAGE,Podocem ,Rural,392.78,966,D,Poriem,1552.97,5156,0,100,0,0,0,10.29,19.32,10,253.17,99.61,153.56,153.56,0,0,0,0
30,586,05619,627026,0000,000000,VILLAGE,Poinguinim ,Rural,3546.4,6625,B,Poinguinim,3546,6625,648.2,439.8,0,0,0,863.6,0,0,1594.8,1540.6,54.2,7.2,4,8,0,35
30,585,05610,626687,0000,000000,VILLAGE,Pomburpa ,Rural,500.73,3095,C,Pomburpa-Olaulim,654,3754,0,26.83,370.1,0,0,71.17,0,0,32.63,32.24,0.39,0,0,0.39,0,0
30,585,05614,626864,0000,000000,VILLAGE,Ponchavadi ,Rural,1588.22,4295,C,Ponchavadi,1588.22,4295,0,0,0,0,0,234.41,198.11,0,1155.7,1087.48,68.22,68.22,0,0,0,0
30,585,05613,626826,0000,000000,VILLAGE,Ponocem ,Rural,299.38,496,D,Pissurlem,2247.46,3287,0,60.65,0,0,0,49.93,30.53,11.95,146.32,143.32,3,0.85,2.15,0,0,0
30,585,05610,626684,0000,000000,VILLAGE,Ponolem ,Rural,92.1,120,D,Aldona,1519.37,9518,8.13,11.72,1.64,0,9.9,0,0,0,60.71,60.62,0.09,0,0.09,0,0,0
30,585,05613,626772,0000,000000,VILLAGE,Ponsuli ,Rural,360,0,D,Querim,4147.5,5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,585,05613,626766,0000,000000,VILLAGE,Poriem ,Rural,1160.19,4190,C,Poriem,1552.97,5156,559,46.35,0,0,0,40,40.63,79.14,395.07,250.46,144.61,100.61,0,0,0,44
30,585,05609,626640,0000,000000,VILLAGE,Poroscodem ,Rural,178.71,675,D,poroscodem,509.24,1335,0,50.9,0,0,0,19.09,0,0,108.72,67.21,41.51,0,0,0,0,41.51
30,586,05618,627011,0000,000000,VILLAGE,Porteem ,Rural,1335,2320,C,Curdi,5081,3241,357.3,213.5,0,0,0,439.2,0,0,325,325,0,0,0,0,0,0
30,586,05618,627005,0000,000000,VILLAGE,Potrem ,Rural,2225,201,D,Bati,12894,3283,1900.9,15,0,0,0,56,0,0,253.1,238.1,15,0,0,0,0,15
30,585,05610,626680,0000,000000,VILLAGE,Punola ,Rural,69.41,864,D,Ucassaim Paliem Punola,469.04,3318,8.51,6.11,0,0,4.61,21.05,0,0,29.13,29.13,0,0,0,0,0,0
30,586,05617,626960,0000,000000,VILLAGE,Quedem ,Rural,786,414,D,Barcem,5840,4437,385.9,59.1,0,0,0,121.5,0,0,219.5,210,9.5,0,3.5,0,2,4
30,585,05613,626771,0000,000000,VILLAGE,Quelaudem ,Rural,339,0,D,Querim,4147.5,5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,586,05615,626876,0000,000000,VILLAGE,Quelossim ,Rural,1065.32,3262,C,Cortalim(CT),1898,12342,0,655.32,0,0,0,6,17,0,387,198,189,0,160,29,0,0
30,585,05613,626785,0000,000000,VILLAGE,Querim ,Rural,405.21,2251,C,Querim,4147.5,5713,0,47.11,0,0,0,100,190,112.05,792.69,412.69,380,320,60,0,0,0
30,585,05614,626850,0000,000000,VILLAGE,Querim ,Rural,1174.25,3474,C,Querim,1174.25,3474,59.82,0,0,0,0,155.28,0,321.68,637.47,45.24,592.23,0,0,592.23,0,0
30,585,05609,626636,0000,000000,VILLAGE,Querim ,Rural,1241.85,3038,C,Querim-Tiracol,606.1,3243,0,199.45,0,0,0,6.51,0,0,199.25,184.4,14.85,0,0,0,0,14.85
30,586,05617,626963,0000,000000,VILLAGE,Quisconda ,Rural,1160,491,D,Barcem,5840,4437,965.2,8.5,0,0,0,15.9,0,0,170.4,162.7,7.7,0,2,0,5.7,0
30,586,05617,626951,0000,000000,VILLAGE,Quitol ,Rural,739,1571,D,Fatorpa,1549,3949,0,270.7,0,0,0,234.3,0,0,234,224,10,0,0,0,5,5
30,586,05616,626901,0000,000000,VILLAGE,Rachol ,Rural,272,1686,D,Rachol,272,1686,0,105.1,0,0,0,5.4,0,0,161.5,161.5,0,0,0,0,0,0
30,585,05613,626767,0000,000000,VILLAGE,Ravona ,Rural,554.23,1165,D,Querim,4147.5,5713,52.16,20.89,0,0,0,37.63,20,10,413.55,190,223.55,180.55,43,0,0,0
30,585,05610,626664,0000,000000,VILLAGE,Revora ,Rural,793.81,2630,C,Revora,793.81,2630,245.44,7.24,0,0,247.28,114.61,0,0,179.24,179.24,0,0,0,0,0,0
30,585,05613,626781,0000,000000,VILLAGE,Rivem ,Rural,891.62,154,D,Dongurli- Thane,6901.66,5488,0,17.84,0,0,0,339.14,105.24,95.24,334.16,330.1,4.06,0,4.06,0,0,0
30,586,05618,627014,0000,000000,VILLAGE,Rivona ,Rural,3582,3621,C,Rivona,5411,5452,1338.8,590.1,0,0,0,393.1,0,0,1260,980,280,80,50,0,10,140
30,586,05618,626985,0000,000000,VILLAGE,Rumbrem ,Rural,384,646,D,Sanvordem(CT),2558,7804,0,55,0,0,0,79,0,0,250,250,0,0,0,0,0,0
30,586,05618,627002,0000,000000,VILLAGE,Salauli ,Rural,1466,0,D,Uguem,6309,4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,585,05613,626787,0000,000000,VILLAGE,Saleli ,Rural,838.34,984,D,Onda,2517.06,9014,0,179.59,0,0,0,238.75,90.4,40.3,289.3,289.11,0.19,0,0,0,0,0.19
30,585,05612,626743,0000,000000,VILLAGE,Salem ,Rural,1069.53,3427,C,Salem,1069.53,3427,0,55,81,380,20,25,12,8,488.53,439.53,49,36,13,0,0,0
30,586,05618,626972,0000,000000,VILLAGE,Sancordem ,Rural,2117,1233,D,Sancordem,10182,4114,1207.6,220,0,0,0,344,0,0,345.4,300,45.4,0,22.9,0,0,22.5
30,586,05618,626979,0000,000000,VILLAGE,Sangod ,Rural,1603,1083,D,Molem,5268,2798,482.9,140.5,0,0,0,547.4,0,0,432.2,380.7,51.5,20,14,0,0,17.5
30,585,05610,626688,0000,000000,VILLAGE,Sangolda ,Rural,339.29,4429,C,Sangolda,339.29,4429,41.12,42.27,0,0,45.26,65.5,0,0,145.14,145.14,0,0,0,0,0,0
30,586,05618,626987,0000,000000,VILLAGE,Santona ,Rural,892,1403,D,Sanvordem(CT),2558,7804,0,548,0,0,0,131,0,0,213,210,3,0,0,0,0,3
30,585,05613,626824,0000,000000,VILLAGE,Sanvorcem ,Rural,234.74,495,D,Birondem,2016.11,4101,0,6,18.16,0,135.29,41.75,2.5,6,25.04,25.04,0,0,0,0,0,0
30,585,05613,626816,0000,000000,VILLAGE,Sanvordem ,Rural,340.25,897,D,Sanvordem,8157.53,3283,40.66,0,72.31,0,0,14.96,0,0,212.32,205.12,7.2,0,0,0,0,7.2
30,586,05615,626875,0000,000000,VILLAGE,Sao Jacinto Island ,Rural,14.97,195,D,Chicalim(CT),1975,13155,0,4.97,0,0,0,0,0,0,10,10,0,0,0,0,0,0
30,586,05615,626881,0000,000000,VILLAGE,Sao Jorge Island ,Rural,94.32,0,D,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,585,05612,626751,0000,000000,VILLAGE,Sarvona ,Rural,785.86,3586,C,Carapur - Sarvona,1645.86,9086,0,143.87,128.39,6,15,10,10,5,467.6,427.2,40.4,20,10,0,0,10.4
30,586,05616,626914,0000,000000,VILLAGE,Sarzora ,Rural,769,2270,C,Sarzora,769,2270,0,0,151.2,0,0,242.7,0,0,375.1,302.5,72.6,0,0,72.6,0,0
30,585,05613,626805,0000,000000,VILLAGE,Satorem ,Rural,196.31,221,D,Nagargaon,10172.57,4652,0,1.36,7.55,0,0,18.98,1.25,3.45,163.72,155.79,7.93,1.56,3.89,0,0,2.48
30,585,05613,626778,0000,000000,VILLAGE,Satrem ,Rural,2226.01,176,D,Nagargaon,10172.57,4652,2190.94,0.36,13.48,0,0,0.83,2.8,0.84,16.76,9.12,7.64,4.48,2.17,0,0,0.99
30,585,05614,626846,0000,000000,VILLAGE,Savoi-Verem ,Rural,928.62,3187,C,Savoi-Verem-Vagorbem,1287.49,3714,0,0,0,0,0,134.85,243.57,0,550.2,435.62,114.58,0,18.15,96.43,0,0
30,586,05616,626899,0000,000000,VILLAGE,Seraulim ,Rural,271,3250,C,Seraulim,387,3998,0,13.8,0,0,0,2.8,0,0,254.4,233.1,21.3,0,0,0,0,21.3
30,586,05616,626905,0000,000000,VILLAGE,Sernabatim ,Rural,184,1548,D,Colva,608,6987,0,35.8,0,0,0,12.9,0,0,135.3,122.1,13.2,0,0,0,0,13.2
30,586,05618,626978,0000,000000,VILLAGE,Sigao ,Rural,2259,1724,D,Colem,10453,6006,1000.4,480.6,0,0,0,309.3,0,0,468.7,450.2,18.5,8.5,0,0,0,10
30,585,05613,626795,0000,000000,VILLAGE,Sigonem ,Rural,328.84,189,D,Nagargaon,10172.57,4652,110.14,1.2,5.64,0,0,20.78,2.62,1.38,187.08,177.48,9.6,3.81,4.82,0,0,0.97
30,586,05618,627017,0000,000000,VILLAGE,Sigonem ,Rural,2002,0,D,Bati,12894,3283,1984.2,7.6,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0
30,585,05613,626834,0000,000000,VILLAGE,Siranguli ,Rural,297.79,80,D,Cotorem,3993.35,4102,130.12,1.15,7.15,0,8,8.57,3.07,8.92,130.81,128.42,2.39,0,1.89,0,0,0.5
30,585,05610,626669,0000,000000,VILLAGE,Sircaim ,Rural,377,2850,C,Sircaim,377,2850,0,7.82,0.56,0,0,82.85,0,0,285.77,282.21,3.56,0,1.14,2.42,0,0
30,585,05611,626724,0000,000000,VILLAGE,Siridao ,Rural,669.66,2417,C,Siridao - Pale,669.66,2417,0,500.43,0,0,0,8.43,0,0,160.8,158.7,2.1,0,0,2.1,0,0
30,585,05612,626746,0000,000000,VILLAGE,Sirigao ,Rural,286.91,1617,D,Sirigao,286.91,1617,0,0,203.91,13,6,4,22,8,30,20,10,0,0,2,0,8
30,586,05616,626915,0000,000000,VILLAGE,Sirlim ,Rural,186,845,D,Sirlim,724,4286,0,32.4,0,0,0,8.4,0,0,145.2,142.7,2.5,0,0,0,0,2.5
30,585,05614,626863,0000,000000,VILLAGE,Siroda ,Rural,3695.8,14041,A,Siroda,3695.8,14041,355.3,0,0,0,0,459.35,684.59,0,2196.56,213.5,1983.06,0,900.06,1083,0,0
30,585,05613,626769,0000,000000,VILLAGE,Siroli ,Rural,353.8,663,D,Querim,4147.5,5713,117.5,6.39,0,0,0,2.78,8.13,4,215,80,135,85,50,0,0,0
30,585,05613,626835,0000,000000,VILLAGE,Sirsodem ,Rural,248.1,245,D,Cotorem,3993.35,4102,154,5.08,3.47,0,4.18,0,6.14,12.23,63,63,0,0,0,0,0,0
30,586,05617,626941,0000,000000,VILLAGE,Sirvoi ,Rural,1200,1129,D,Xeldem(CT),2200,8563,307.2,95.5,0,0,0,485.3,0,0,312,300,12,7,0,0,0,5
30,585,05613,626817,0000,000000,VILLAGE,Sonal ,Rural,306.91,430,D,Sanvordem,8157.53,3283,0,0,27.58,0,0,147.69,0,0,131.64,111.8,19.84,0,0,0,0,19.84
30,586,05618,626989,0000,000000,VILLAGE,Sonauli ,Rural,2584,63,D,Colem,10453,6006,1880.7,99,0,0,0,572.8,0,0,31.5,30.5,1,0,0,0,0,1
30,585,05613,626810,0000,000000,VILLAGE,Sonus-Vonvoliem ,Rural,474.12,764,D,Onda,2517.06,9014,54.97,107.9,0,0,0,0.05,75.85,40.3,195.05,187.82,7.23,0,0,0,0,7.23
30,586,05617,626965,0000,000000,VILLAGE,Sulcorna ,Rural,1153,594,D,Cavorem,7640,3508,3.9,53.5,0,0,0,790.55,0,0,305.05,205,100.05,0,10,0,90.05,0
30,585,05613,626777,0000,000000,VILLAGE,Surla ,Rural,1693.64,460,D,Dongurli- Thane,6901.66,5488,1346.68,38.41,0,0,0,5.74,20.25,8.24,59.45,48.72,10.73,0,6.7,4.03,0,0
30,586,05618,626974,0000,000000,VILLAGE,Surla ,Rural,1478.77,1109,D,Sancordem,10182,4114,5771.9,110,0,0,0,423,0,0,115.1,108.6,6.5,2.5,1.9,0,0,2.1
30,585,05612,626761,0000,000000,VILLAGE,Surla ,Rural,6420,3818,C,Surla,1693.64,3818,6.84,8,717,300.8,7,5,11,4,634,564,70,0,0,0,0,70
30,585,05611,626716,0000,000000,VILLAGE,Talaulim ,Rural,429.98,972,D,Curca -Bambolim -Talaulim,1778.86,10816,0,110.93,0,0,0,21,0,0,298.05,295,3.05,0,0,0,0,3.05
30,586,05616,626907,0000,000000,VILLAGE,Talaulim ,Rural,493,2911,C,Talaulim,493,2911,0,80.6,0,0,0,25.4,0,0,386.8,364.6,22.2,0,0,0,0,22.2
30,585,05609,626645,0000,000000,VILLAGE,Tamboxem ,Rural,153.62,591,D,Tamboxern Mopa Uguem,1372.25,2806,32.32,29.48,0,0,0,23.17,0,0,68.65,66.69,1.96,0,0,0,0,1.96
30,585,05614,626857,0000,000000,VILLAGE,Telaulim ,Rural,246,2554,C,Vadi-Telaulim,407.01,3060,0,0,0,0,0,31.2,0,112.1,102.7,76,26.7,0,26.7,0,0,0
30,586,05617,626954,0000,000000,VILLAGE,Tiloi ,Rural,686,588,D,Bali,3895,7415,172.3,25,0,0,0,117.9,0,0,370.8,350.7,20.1,0,10,0,10.1,0
30,585,05609,626635,0000,000000,VILLAGE,Tiracol ,Rural,200.89,205,D,Querim-Tiracol,606.1,3243,2.44,88.28,0,0,0,19.35,0,0,90.82,90.35,0.47,0,0,0,0,0.47
30,585,05610,626670,0000,000000,VILLAGE,Tivim ,Rural,1937.01,9076,A,Tivim,1937.01,9076,0,104.44,523.15,0,40.86,536.99,716.45,0,15.12,15.12,0,0,0,0,0,0
30,585,05614,626843,0000,000000,VILLAGE,Tivrem ,Rural,210,1878,D,Tivrem-Orgao,560,6480,0,0,0,0,0,30.24,50.34,6,123.42,83.57,39.85,0,0,0,0,39.85
30,585,05609,626646,0000,000000,VILLAGE,Torxem ,Rural,995.71,2405,C,Torxem,995.71,2405,45.37,241.55,0,0,0,135.34,0,0,573.45,546.95,26.5,0,0,0,0,26.5
30,586,05618,627004,0000,000000,VILLAGE,Tudou ,Rural,1295,35,D,Bati,12894,3283,741.8,135.1,0,0,0,154.5,0,0,263.6,250.5,13.1,0,0,0,0,13.1
30,585,05609,626655,0000,000000,VILLAGE,Tuem ,Rural,1523.44,2751,C,Pernem,2208.55,6639,0,460.13,0,0,0,37.62,0,0,1025.69,1017.79,7.9,0,0,0,0,7.9
30,585,05610,626681,0000,000000,VILLAGE,Ucassaim ,Rural,263.65,1077,D,Ucassaim Paliem Punola,469.04,3318,13.57,9.01,0,0,23.64,94.6,0,0,122.83,122.83,0,0,0,0,0,0
30,585,05609,626644,0000,000000,VILLAGE,Uguem ,Rural,343.26,1133,D,Tamboxern Mopa Uguem,1372.25,2806,0,47.46,0,0,0,78.42,0,0,217.38,198.35,19.03,0,0,0,0,19.03
30,586,05618,627003,0000,000000,VILLAGE,Uguem ,Rural,1675,2557,C,Uguem,6309,4733,256.5,291.2,0,0,0,465.1,0,0,662.2,650,12.2,0,2.2,0,0,10
30,586,05617,626944,0000,000000,VILLAGE,Undorna ,Rural,526,176,D,Molcornem,2373,2887,70,235.2,0,0,0,89.8,0,0,131,105,26,0,6,0,0,20
30,585,05613,626800,0000,000000,VILLAGE,Ustem ,Rural,456.08,346,D,Nagargaon,10172.57,4652,63.4,0.89,6.39,0,0,7.61,4.48,5.52,367.79,310,57.79,24,23.76,0,0,10.03
30,586,05616,626893,0000,000000,VILLAGE,Utorda ,Rural,314,2018,C,Majorda,917,6570,0,35,0,0,0,1.9,0,0,277.1,270.2,6.9,0,0,0,0,6.9
30,585,05614,626858,0000,000000,VILLAGE,Vadi ,Rural,161.01,506,D,Vadi-Telaulim,407.01,3060,0,0,0,0,0,38.62,0,59.59,62.8,56.3,6.5,0,6.5,0,0,0
30,585,05614,626851,0000,000000,VILLAGE,Vagurbem ,Rural,358.87,527,D,Savoi-Verem-Vagorbem,1287.49,3714,0,0,0,0,0,110.72,126.84,0,121.31,101.9,19.41,0,0,19.41,0,0
30,585,05613,626811,0000,000000,VILLAGE,Vaguriem ,Rural,311.35,255,D,Pissurlem,2247.46,3287,20.8,9.1,0,0,0,0,5,2.2,274.25,273.4,0.85,0.85,0,0,0,0
30,585,05612,626753,0000,000000,VILLAGE,Vainguinim ,Rural,67.81,706,D,Maem,2239.82,8717,0,0,12.87,8.61,2,0,0,0,44.33,42.33,2,0,0,2,0,0
30,585,05613,626798,0000,000000,VILLAGE,Vainguinim ,Rural,888.77,32,D,Nagargaon,10172.57,4652,856.78,0.2,2.35,0,0,0.94,3.38,1.68,23.44,20.54,2.9,1.89,0.45,0,0,0.56
30,586,05616,626898,0000,000000,VILLAGE,Vanelim ,Rural,99,1860,D,Colva,608,6987,0,3.4,0,0,0,0.3,0,0,95.3,90.5,4.8,0,0,0,0,4.8
30,585,05613,626827,0000,000000,VILLAGE,Vantem ,Rural,592.63,1678,D,Birondem,2016.11,4101,0,6.24,56.58,0,400.94,39.37,9.5,10.9,69.1,34.34,34.76,30.76,0,0,0,4
30,585,05609,626642,0000,000000,VILLAGE,Varconda ,Rural,1126.9,2208,C,Varconda,1126.9,2208,0,189.28,0,0,0,354.51,0,0,583.11,493.47,89.64,0,0,0,0,89.64
30,585,05613,626822,0000,000000,VILLAGE,Velguem ,Rural,324.24,1310,D,Cotorem,3993.35,4102,261.76,9.78,29.98,0,7.05,126.3,17.1,11.07,189.31,166.93,22.38,11.3,0,2.02,0,9.06
30,585,05612,626762,0000,000000,VILLAGE,Velguem ,Rural,652.35,2617,C,Velguem,324.24,2617,110.52,12,71,31.72,22,13,16,10,38,31,7,0,4,3,0,0
30,586,05616,626921,0000,000000,VILLAGE,Velim,Rural,814,5955,B,Velim,814,5955,0,214,0,0,0,73,0,0,527,435,92,92,0,0,0,0
30,585,05614,626854,0000,000000,VILLAGE,Velinga ,Rural,315,1921,D,Velinga-Priol-Cuncoliem,2224,11470,0,0,0,0,0,48,90,0,177,113,64,0,30,34,0,0
30,586,05615,626882,0000,000000,VILLAGE,Velsao ,Rural,161.83,1520,D,Velsao,676,4351,0,62.83,0,0,0,4,7,0,88,66,22,0,15,7,0,0
30,585,05610,626676,0000,000000,VILLAGE,Verla ,Rural,354.35,3685,C,"Verla,",435.44,7236,5.32,3.67,17.71,0,32.09,55.18,134.75,0,105.63,92.31,13.32,0,13.32,0,0,0
30,586,05618,627020,0000,000000,VILLAGE,Verlem ,Rural,5413,568,D,Netorli,11179,3552,366,1044.3,0,0,0,3926.69,0,0,76.01,70,6.01,0,1,0,0,5.01
30,586,05618,627016,0000,000000,VILLAGE,Vichundrem ,Rural,911,775,D,Netorli,11179,3552,623.2,10.8,0,0,0,73,0,0,204,195,9,0,1,2,0,6
30,586,05618,627008,0000,000000,VILLAGE,Viliena ,Rural,406,540,D,Bati,12894,3283,162,12,0,0,47,0,0,0,185,160,25,0,0,0,0,25
30,585,05609,626654,0000,000000,VILLAGE,Virnora ,Rural,389.04,1386,D,Virnora Pernem(R),2208.55,6639,0,100.67,0,0,0,71.5,0,0,216.87,174.59,42.28,0,0,0,0,42.28
30,585,05614,626845,0000,000000,VILLAGE,Volvoi ,Rural,135.14,1842,D,Volvoi,135.14,1842,0,0,0,0,0,7.54,38.29,0,89.31,64.36,24.95,0,0,24.95,0,0
30,585,05613,626794,0000,000000,VILLAGE,Xelopo-Buzruco ,Rural,192.3,244,D,Nagargaon,10172.57,4652,41.23,1.43,0.66,0,0,27.08,6.64,4.85,110.41,93.67,16.74,8.47,3.81,0,0,4.46
30,585,05613,626833,0000,000000,VILLAGE,Xelopo-Curdo ,Rural,451.87,252,D,Cotorem,3993.35,4102,155.83,3.04,52.4,0,39.1,0,19.23,22.17,160.1,160.1,0,0,0,0,0,0
30,586,05618,627001,0000,000000,VILLAGE,Xelpem ,Rural,451,255,D,Uguem,6309,4733,98.3,214,0,0,0,55.7,0,0,83,78,5,2,0,0,0,3
30,586,05617,626936,0000,000000,VILLAGE,Xelvona ,Rural,213,1725,D,Assolda,740,3676,0,67,0,0,0,40.5,0,0,105.5,75,30.5,20,0,0,0,10.5
30,586,05617,626935,0000,000000,VILLAGE,Xic-Xelvona ,Rural,115,125,D,Assolda,740,3676,0,19.5,0,0,0,20.5,0,0,75,50,25,17,0,0,0,8
30,586,05617,626943,0000,000000,VILLAGE,Zanodem ,Rural,365,272,D,Molcornem,2373,2887,0,27.8,0,0,0,72.2,0,0,265,240,25,0,15,0,0,10
30,585,05613,626799,0000,000000,VILLAGE,Zarani ,Rural,771.78,0,D,Nagargaon,10172.57,4652,722.62,0,37.85,0,0,0,0.35,0.2,10.76,10.76,0,0,0,0,0,0
30,585,05613,626788,0000,000000,VILLAGE,Zormen ,Rural,726.3,635,D,Mauzi,2796.33,4080,459.5,59.36,0,0,0,1.29,20,7,179.15,178.88,0.27,0.27,0,0,0,0
30,585,05610,626704,0000,000000,TOWN,Aldona (CT),Urban,804,6270,V,Aldona,1519.37,9518,,,,,,,,,,,,,,,,
30,585,05610,626694,0000,000000,TOWN,Anjuna (CT),Urban,1300,9636,V,"Anjuna, Caisua",1300,9636,,,,,,,,,,,,,,,,
30,586,05616,626929,0000,000000,TOWN,Aquem (CT),Urban,170,6511,V,"Aquem-
Baixo(CT)",170,6511,,,,,,,,,,,,,,,,
30,585,05609,626658,0000,000000,TOWN,Arambol (CT),Urban,966,5322,V,Arambol,966,5322,,,,,,,,,,,,,,,,
30,585,05611,626733,0000,000000,TOWN,Bambolim (CT),Urban,760,6885,V,Curca -Bambolim -Talaulim,1778.86,10816,,,,,,,,,,,,,,,,
30,585,05614,626869,0000,000000,TOWN,Bandora (CT),Urban,1230,12722,IV,Bandora,1230,12722,,,,,,,,,,,,,,,,
30,586,05616,626931,0000,000000,TOWN,Benaulim (CT),Urban,1020,11919,IV,Cana,1083,12627,,,,,,,,,,,,,,,,
30,585,05612,803244,0000,000000,TOWN,Bicholim (M Cl),Urban,1450,16986,IV,,,,,,,,,,,,,,,,,,,
30,585,05614,626872,0000,000000,TOWN,Borim (CT),Urban,1530,8257,V,Borim,1530,8257,,,,,,,,,,,,,,,,
30,585,05610,626695,0000,000000,TOWN,Calangute (CT),Urban,1172,13810,IV,Calangute,1172,13810,,,,,,,,,,,,,,,,
30,585,05611,626732,0000,000000,TOWN,Calapor (CT),Urban,980,14077,IV,St. Cruz,980,15306,,,,,,,,,,,,,,,,
30,586,05619,803254,0000,000000,TOWN,Canacona (M Cl),Urban,1870,12434,IV,,,,,,,,,,,,,,,,,,,
30,585,05614,626865,0000,000000,TOWN,Candola (CT),Urban,852,5354,V,Betqui-Candola,1481,7061,,,,,,,,,,,,,,,,
30,585,05610,626697,0000,000000,TOWN,Candolim (CT),Urban,696,8500,V,Candolim,696,8500,,,,,,,,,,,,,,,,
30,585,05612,626763,0000,000000,TOWN,Carapur (CT),Urban,860,5500,V,Carapur - Sarvona,1645.86,9086,,,,,,,,,,,,,,,,
30,586,05615,626885,0000,000000,TOWN,Chicalim (CT),Urban,1219,6933,V,Chicalim(CT),1975,13155,,,,,,,,,,,,,,,,
30,585,05611,626730,0000,000000,TOWN,Chimbel (CT),Urban,330,15289,IV,Chimbel,1010,16812,,,,,,,,,,,,,,,,
30,586,05616,626933,0000,000000,TOWN,Chinchinim (CT),Urban,920,6908,V,Chinchinim(CT),1190,8387,,,,,,,,,,,,,,,,
30,585,05610,626691,0000,000000,TOWN,Colvale (CT),Urban,1072,4818,VI,Colvale,1072,4818,,,,,,,,,,,,,,,,
30,585,05611,626729,0000,000000,TOWN,Corlim (CT),Urban,570,6568,V,Corlim,570,6568,,,,,,,,,,,,,,,,
30,586,05615,626887,0000,000000,TOWN,Cortalim (CT),Urban,833,9080,V,Cortalim(CT),1898,12342,,,,,,,,,,,,,,,,
30,585,05611,626728,0000,000000,TOWN,Cumbarjua (CT),Urban,240,4917,VI,Cumbarjua,374.04,5218,,,,,,,,,,,,,,,,
30,586,05616,803250,0000,000000,TOWN,Cuncolim (M Cl),Urban,2870,16623,IV,,,,,,,,,,,,,,,,,,,
30,586,05617,803252,0000,000000,TOWN,Curchorem-Cacora (M Cl),Urban,2260,22730,III,,,,,,,,,,,,,,,,,,,
30,585,05614,626870,0000,000000,TOWN,Curti (CT),Urban,770,16385,IV,Curti-Cadepar,1881,20153,,,,,,,,,,,,,,,,
30,586,05616,626926,0000,000000,TOWN,Curtorim (CT),Urban,1736,12886,IV,Curtorim,1736,12886,,,,,,,,,,,,,,,,
30,586,05616,626928,0000,000000,TOWN,Davorlim (CT),Urban,330,15350,IV,Davorlim(CT),325,18407,,,,,,,,,,,,,,,,
30,585,05611,626734,0000,000000,TOWN,Goa Velha (CT),Urban,1010,4322,VI,St. Andre (Goa Velha),1010,4322,,,,,,,,,,,,,,,,
30,585,05610,626693,0000,000000,TOWN,Guirim (CT),Urban,403,5036,V,Guirim,403,5036,,,,,,,,,,,,,,,,
30,585,05611,626727,0000,000000,TOWN,Jua (CT),Urban,830,4134,VI,St. Estevam,830,4134,,,,,,,,,,,,,,,,
30,585,05609,626659,0000,000000,TOWN,Mandrem (CT),Urban,1959,8336,V,Mandrem,1959,8336,,,,,,,,,,,,,,,,
30,585,05610,803242,0000,000000,TOWN,Mapusa (M Cl),Urban,1132,39989,III,,,,,,,,,,,,,,,,,,,
30,585,05614,626867,0000,000000,TOWN,Marcaim (CT),Urban,1250,6215,V,Marcaim,1250,6215,,,,,,,,,,,,,,,,
30,586,05616,803249,0000,000000,TOWN,Margao (M Cl),Urban,1510,87650,II,,,,,,,,,,,,,,,,,,,
30,585,05611,626735,0000,000000,TOWN,Mercurim (CT),Urban,260,4970,VI,St.Lawerence(Agassaim),260,4970,,,,,,,,,,,,,,,,
30,585,05610,626692,0000,000000,TOWN,Moira (CT),Urban,389,4299,VI,Moira,389,4299,,,,,,,,,,,,,,,,
30,585,05609,626661,0000,000000,TOWN,Morjim (CT),Urban,997,6760,V,Parcem,997,6760,,,,,,,,,,,,,,,,
30,586,05615,803248,0000,000000,TOWN,Mormugao (M Cl),Urban,2736,94393,II,,,,,,,,,,,,,,,,,,,
30,585,05611,626731,0000,000000,TOWN,Murda (CT),Urban,190,7517,V,Merces,330,16812,,,,,,,,,,,,,,,,
30,586,05616,626930,0000,000000,TOWN,Navelim (CT),Urban,530,12323,IV,Navelim(CT),530,12323,,,,,,,,,,,,,,,,
30,585,05610,626698,0000,000000,TOWN,Nerul (CT),Urban,985,5042,V,Nerul,985,5042,,,,,,,,,,,,,,,,
30,586,05616,626924,0000,000000,TOWN,Nuvem (CT),Urban,1100,9288,V,Nuvem(CT),1100,9288,,,,,,,,,,,,,,,,
30,585,05613,626842,0000,000000,TOWN,Onda (CT),Urban,793,5863,V,Onda,2517.06,9014,,,,,,,,,,,,,,,,
30,585,05614,626866,0000,000000,TOWN,Orgao (CT),Urban,350,4602,VI,Tivrem-Orgao,560,6480,,,,,,,,,,,,,,,,
